chr_name	start	end	val	color	gene	transcript
chr1	65418	71585	1	lightgray	OR4F5	NM_001005484.2
chr1	450739	451678	1	lightgray	OR4F29	NM_001005221.2
chr1	685715	686654	1	lightgray	OR4F16	NM_001005277.1
chr1	923922	944574	1	lightgray	SAMD11	NM_001385641.1
chr1	923922	944574	1	lightgray	SAMD11	NM_001385640.1
chr1	925730	944574	1	lightgray	SAMD11	NM_152486.4
chr1	944202	959256	1	lightgray	NOC2L	NM_015658.4
chr1	960583	965719	1	lightgray	KLHL17	NM_198317.3
chr1	966481	975865	1	lightgray	PLEKHN1	NM_032129.3
chr1	966481	975865	1	lightgray	PLEKHN1	NM_001160184.2
chr1	966481	975865	1	lightgray	PLEKHN1	NM_001367552.1
chr1	975197	981173	1	lightgray	PERM1	NM_001369898.1
chr1	975197	982093	1	lightgray	PERM1	NM_001369897.1
chr1	975197	982093	1	lightgray	PERM1	NM_001394713.1
chr1	975197	982093	1	lightgray	PERM1	NM_001291367.2
chr1	975197	982093	1	lightgray	PERM1	NM_001291366.2
chr1	998963	1000097	1	lightgray	HES4	NM_001142467.2
chr1	998963	1000097	1	lightgray	HES4	NM_021170.4
chr1	1013496	1014540	1	lightgray	ISG15	NM_005101.4
chr1	1020119	1056116	1	lightgray	AGRN	NM_198576.4
chr1	1020119	1056116	1	lightgray	AGRN	NM_001305275.2
chr1	1033992	1056116	1	lightgray	AGRN	NM_001364727.2
chr1	1070966	1074306	1	lightgray	RNF223	NM_001205252.2
chr1	1081822	1116089	1	lightgray	C1orf159	NM_001330306.2
chr1	1081822	1116089	1	lightgray	C1orf159	NM_001363525.2
chr1	1081822	1116089	1	lightgray	C1orf159	NM_017891.5
chr1	1173879	1197936	1	lightgray	TTLL10	NM_001130045.2
chr1	1173879	1197936	1	lightgray	TTLL10	NM_001371649.1
chr1	1179680	1185864	1	lightgray	TTLL10	NM_153254.3
chr1	1203507	1206592	1	lightgray	TNFRSF18	NM_004195.3
chr1	1203507	1206592	1	lightgray	TNFRSF18	NM_148902.2
chr1	1203507	1206592	1	lightgray	TNFRSF18	NM_148901.2
chr1	1211339	1214153	1	lightgray	TNFRSF4	NM_003327.4
chr1	1216930	1232001	1	lightgray	SDF4	NM_016547.3
chr1	1216930	1232001	1	lightgray	SDF4	NM_016176.6
chr1	1232236	1235041	1	lightgray	B3GALT6	NM_080605.4
chr1	1242452	1246722	1	lightgray	C1QTNF12	NM_001014980.3
chr1	1253911	1273854	1	lightgray	UBE2J2	NM_194458.2
chr1	1253911	1273854	1	lightgray	UBE2J2	NM_194315.2
chr1	1253911	1273854	1	lightgray	UBE2J2	NM_058167.3
chr1	1253911	1273854	1	lightgray	UBE2J2	NM_194457.2
chr1	1280435	1292025	1	lightgray	SCNN1D	NM_001130413.4
chr1	1292390	1307930	1	lightgray	ACAP3	NM_030649.3
chr1	1308596	1311677	1	lightgray	PUSL1	NM_153339.3
chr1	1308596	1311677	1	lightgray	PUSL1	NM_001346116.2
chr1	1311599	1324660	1	lightgray	INTS11	NM_001256456.2
