chr_name	start	val	color
chr1	45000000	0.064102783	red
chr1	55000000	1.252963426	red
chr1	60000000	0.32259385	red
chr1	70000000	0.113639049	red
chr1	75000000	0.17798866	red
chr1	80000000	0.296138394	red
chr1	85000000	1.764183505	red
chr1	95000000	0.866575263	red
chr1	100000000	2.293544145	red
chr1	105000000	3.882317703	red
chr1	110000000	0.192300437	red
chr1	115000000	0.834416126	red
chr1	140000000	0.014943483	red
chr1	150000000	1.097097097	red
chr1	155000000	0.409186189	red
chr1	160000000	0.007338771	red
chr1	165000000	0.277805592	red
chr1	170000000	0.93963931	red
chr1	175000000	0.24534296	red
chr1	180000000	0.15035221	red
chr1	185000000	0.308806569	red
chr1	190000000	0.230403787	red
chr1	195000000	2.229393167	red
chr1	205000000	0.176666831	red
chr1	215000000	0.135742796	red
chr2	0	0.04047232	red
chr2	15000000	1.338952826	red
chr2	20000000	0.545437716	red
chr2	50000000	0.415420838	red
chr2	55000000	0.520442677	red
chr2	65000000	0.393448489	red
chr2	75000000	1.942958027	red
chr2	80000000	0.121637167	red
chr2	115000000	0.301375875	red
chr2	135000000	0.411790215	red
chr2	140000000	0.525217433	red
chr2	145000000	3.133639888	red
chr2	150000000	0.093600965	red
chr2	155000000	0.314387011	red
chr2	160000000	2.495588308	red
chr2	165000000	0.980845619	red
chr2	175000000	2.930342753	red
chr2	180000000	0.105082995	red
chr2	185000000	0.631391858	red
chr2	190000000	3.024415756	red
chr2	195000000	0.659232025	red
chr2	205000000	1.882294071	red
chr2	210000000	0.565937069	red
chr2	215000000	2.107743735	red
chr2	220000000	1.200037144	red
chr2	240000000	0.301848849	red
chr3	0	0.138762722	red
chr3	15000000	0.57530572	red
chr3	40000000	0.06259114	red
chr3	45000000	0.333264777	red
chr3	50000000	1.373304612	red
chr3	60000000	0.056480756	red
chr3	65000000	1.100118046	red
chr3	70000000	0.282355312	red
chr3	75000000	0.012180733	red
chr3	80000000	0.330066321	red
chr3	85000000	0.396529855	red
chr3	90000000	0.399407208	red
chr3	95000000	0.445262699	red
chr3	100000000	0.194207874	red
chr3	105000000	1.063896264	red
chr3	110000000	0.188430346	red
chr3	115000000	0.410331835	red
chr3	120000000	0.134033699	red
chr3	130000000	0.518222619	red
chr3	135000000	2.961188636	red
chr3	140000000	2.324702591	red
chr3	145000000	0.260720455	red
chr3	155000000	0.364181967	red
chr3	160000000	2.850964675	red
chr3	165000000	1.717971425	red
chr4	5000000	0.416476791	red
chr4	10000000	0.225838909	red
chr4	15000000	0.150678159	red
chr4	20000000	1.49030108	red
chr4	30000000	0.574591912	red
chr4	45000000	0.843730297	red
chr4	50000000	1.001787115	red
chr4	55000000	1.061254911	red
chr4	60000000	1.094700142	red
chr4	65000000	0.169322413	red
chr4	70000000	1.801717885	red
chr4	95000000	1.081713677	red
chr4	100000000	0.599904756	red
chr4	105000000	0.116840449	red
chr4	110000000	0.385036113	red
chr4	115000000	0.718012488	blue
chr4	120000000	1.390339935	blue
chr4	125000000	0.423694065	blue
chr4	130000000	6.499124309	blue
chr4	135000000	1.667749606	blue
chr4	155000000	1.749266704	blue
chr4	165000000	0.456483179	blue
chr4	170000000	0.292160103	blue
chr4	175000000	0.059390633	blue
chr4	180000000	0.330989452	blue
chr4	190000000	0.379789999	blue
chr5	0	1.668355486	blue
chr5	20000000	0.778967918	blue
chr5	25000000	1.988649031	blue
chr5	35000000	1.917876766	blue
chr5	40000000	0.526131497	blue
chr5	45000000	0.454779004	blue
chr5	50000000	0.018414247	blue
chr5	55000000	0.35577776	blue
chr5	60000000	1.207937545	blue
chr5	65000000	0.755933598	blue
chr5	80000000	0.241512971	blue
chr5	85000000	0.006473066	blue
chr5	90000000	0.297789382	blue
chr5	95000000	2.104731504	blue
chr5	100000000	2.441319549	blue
chr5	105000000	0.293686942	blue
chr5	110000000	0.069689477	blue
chr5	115000000	0.006728318	blue
chr5	120000000	1.610778202	blue
chr5	125000000	1.125514976	blue
chr5	140000000	0.858633363	blue
chr5	160000000	0.352244355	blue
chr5	165000000	1.764921842	blue
chr6	5000000	0.756864022	blue
chr6	25000000	3.254501145	blue
chr6	30000000	3.028996708	blue
chr6	45000000	0.407908597	blue
chr6	50000000	0.99646813	blue
chr6	55000000	0.920984654	blue
chr6	60000000	3.21224327	blue
chr6	65000000	0.041126133	blue
chr6	70000000	0.036845093	blue
chr6	75000000	1.864501776	blue
chr6	80000000	0.406144781	blue
chr6	85000000	0.736776001	blue
chr6	90000000	0.979391926	blue
chr6	95000000	0.118799268	blue
chr6	100000000	1.595095846	blue
chr6	115000000	0.077503987	blue
chr6	120000000	4.297821574	blue
chr6	125000000	0.184783848	blue
chr6	140000000	1.44241399	blue
chr6	145000000	1.47932454	blue
chr6	170000000	0.388123051	blue
chr7	10000000	0.25699002	blue
chr7	15000000	1.854651926	blue
chr7	25000000	0.05292115	blue
chr7	30000000	0.041948824	blue
chr7	40000000	1.699828347	blue
chr7	50000000	0.989835365	blue
chr7	65000000	0.126138858	blue
chr7	80000000	0.716076911	blue
chr7	85000000	0.776266926	blue
chr7	90000000	2.903998072	blue
chr7	105000000	0.098255955	blue
chr7	110000000	0.476271536	blue
chr7	115000000	0.645662164	blue
chr7	120000000	1.623015942	blue
chr7	140000000	1.273102004	blue
chr8	20000000	0.468223266	blue
chr8	50000000	0.0812562	blue
chr8	60000000	0.320689388	blue
chr8	65000000	0.122344243	blue
chr8	70000000	0.178434813	blue
chr8	75000000	3.326785454	blue
chr8	85000000	0.39378715	blue
chr8	90000000	0.265664086	blue
chr8	95000000	0.967978023	blue
chr8	105000000	1.246140158	blue
chr8	110000000	0.718393603	blue
chr8	115000000	0.426107954	blue
chr8	120000000	0.194812934	blue
chr8	130000000	0.365214216	blue
chr8	135000000	0.530002667	blue
chr8	140000000	0.810827479	blue
chr8	145000000	0.23758379	blue
chr9	0	2.307569774	blue
chr9	5000000	0.644571009	blue
chr9	10000000	2.046089666	blue
chr9	15000000	1.422952623	blue
chr9	20000000	0.225869609	blue
chr9	25000000	0.413266139	blue
chr9	30000000	2.624871649	blue
chr9	40000000	1.913833228	blue
chr9	45000000	0.125109584	blue
chr9	65000000	1.210456489	blue
chr9	80000000	0.51545071	blue
chr9	100000000	0.085750677	blue
chr9	115000000	2.032450748	blue
chr9	140000000	1.29386242	blue
chr10	40000000	0.843297362	blue
chr10	45000000	0.893295299	blue
chr10	50000000	2.481696958	blue
chr10	65000000	1.38192794	blue
chr10	75000000	0.011872433	blue
chr10	80000000	0.000554947	blue
chr10	90000000	0.385968505	blue
chr10	105000000	2.510883496	blue
chr10	130000000	2.311905364	blue
chr10	135000000	0.990698421	blue
chr11	0	1.243657619	blue
chr11	5000000	1.911169119	blue
chr11	10000000	1.079652567	blue
chr11	15000000	2.619762266	blue
chr11	20000000	0.257558874	blue
chr11	25000000	2.394581162	blue
chr11	30000000	3.24509585	blue
chr11	35000000	0.230435895	blue
chr11	40000000	0.173102221	blue
chr11	50000000	0.832632448	blue
chr11	55000000	0.046538941	blue
chr11	80000000	1.827172581	blue
chr11	85000000	0.909248832	blue
chr11	90000000	1.038796881	blue
chr11	95000000	0.107021099	blue
chr11	100000000	1.98674372	blue
chr11	110000000	0.244858041	blue
chr11	120000000	0.137285786	blue
chr11	125000000	0.324441839	blue
chr11	130000000	3.108916625	blue
chr12	15000000	1.035480663	blue
chr12	30000000	0.287106443	blue
chr12	35000000	0.005487949	blue
chr12	40000000	2.244696954	blue
chr12	55000000	0.115504557	blue
chr12	70000000	0.327923093	blue
chr12	75000000	2.827486338	blue
chr12	80000000	2.70741345	blue
chr12	85000000	1.199556622	blue
chr12	110000000	2.63512104	blue
chr12	125000000	0.286428964	blue
chr12	130000000	0.024658937	blue
chr13	35000000	1.743368236	blue
chr13	50000000	0.828561715	blue
chr13	55000000	0.756788116	blue
chr13	60000000	1.66138567	blue
chr13	65000000	0.361006167	blue
chr13	70000000	0.086902368	blue
chr13	75000000	1.644918563	purple
chr13	80000000	0.700546887	purple
chr13	85000000	2.008880955	purple
chr13	100000000	1.056700532	purple
chr13	110000000	0.047200999	purple
chr14	15000000	1.264809839	purple
chr14	20000000	0.279193292	purple
chr14	25000000	0.081245665	purple
chr14	35000000	0.175169179	purple
chr14	40000000	0.587449364	purple
chr14	65000000	3.12871402	purple
chr14	80000000	0.661105958	purple
chr14	95000000	2.457391466	purple
chr14	105000000	0.439751427	purple
chr15	15000000	0.675880658	purple
chr15	30000000	0.296852614	purple
chr15	35000000	0.148769886	purple
chr15	50000000	1.005393121	purple
chr15	55000000	0.055582945	purple
chr15	65000000	1.14664124	purple
chr15	75000000	0.691367296	purple
chr15	90000000	0.131243868	purple
chr15	95000000	0.228396955	purple
chr15	100000000	0.141599733	purple
chr16	30000000	0.086016401	purple
chr16	50000000	2.400835014	purple
chr16	60000000	1.224233012	purple
chr17	45000000	0.210355851	purple
chr17	50000000	0.384648194	purple
chr17	60000000	0.546719365	purple
chr17	65000000	0.413231988	purple
chr18	20000000	0.917229007	purple
chr18	25000000	0.112918699	purple
chr18	30000000	1.044802276	purple
chr18	35000000	0.027650454	purple
chr18	40000000	0.288165507	purple
chr18	45000000	4.641072028	purple
chr18	60000000	0.797419207	purple
chr18	65000000	0.623123822	purple
chr18	70000000	1.473264596	purple
chr19	0	0.260881739	purple
chr19	5000000	0.410505767	purple
chr19	15000000	1.812716451	purple
chr19	20000000	1.042160602	purple
chr19	45000000	0.170683391	purple
chr19	60000000	0.177549199	purple
chr20	10000000	1.194119365	purple
chr20	15000000	1.432884921	purple
chr20	20000000	0.106606985	purple
chr20	50000000	0.376472093	purple
chr20	55000000	0.964941305	purple
chr21	10000000	0.555750173	purple
chr21	15000000	1.619947696	purple
chr21	20000000	0.630017786	purple
chr21	25000000	0.857721423	purple
chr22	45000000	1.183595379	purple
chrX	10000000	1.281251765	purple
chrX	15000000	1.629667328	purple
chrX	20000000	1.476121118	purple
chrX	25000000	1.120426705	purple
chrX	30000000	2.080306223	purple
chrX	35000000	2.342647726	purple
chrX	45000000	0.612010974	purple
chrX	50000000	0.718935577	purple
chrX	55000000	0.805047306	purple
chrX	60000000	2.728097754	purple
chrX	65000000	0.159287546	purple
chrX	70000000	0.327402177	purple
chrX	75000000	0.825559649	purple
chrX	80000000	1.817255831	purple
chrX	85000000	0.090850738	purple
chrX	90000000	0.136107765	purple
chrX	95000000	0.488086501	purple
chrX	100000000	3.800516067	purple
chrX	105000000	0.827495007	purple
chrX	110000000	0.314282498	purple
chrX	115000000	0.178856401	purple
chrX	120000000	1.017670293	purple
chrX	125000000	0.547789274	purple
chrX	130000000	1.104428711	purple
chrX	135000000	1.395411888	purple
chrX	140000000	3.264821006	purple
chrX	145000000	0.911559438	purple
chrX	150000000	0.426993598	purple
chrY	5000000	2.590765496	purple
chrY	10000000	1.134122593	purple
chrY	55000000	0.439098864	purple
